order_id,order_date,region,category,product,quantity,unit_price,revenue,customer_segment
1001,2024-01-05,North,Electronics,Laptop,2,899.99,1799.98,Enterprise
1002,2024-01-06,South,Furniture,Office Chair,5,129.50,647.50,SMB
1003,2024-01-08,East,Electronics,Monitor,3,249.00,747.00,Enterprise
1004,2024-01-10,West,Clothing,Jacket,10,59.99,599.90,Consumer
1005,2024-01-12,North,Electronics,Keyboard,8,45.00,360.00,SMB
1006,2024-01-15,South,Furniture,Desk,2,320.00,640.00,Enterprise
1007,2024-01-18,East,Clothing,T-Shirt,20,15.99,319.80,Consumer
1008,2024-01-20,West,Electronics,Laptop,1,899.99,899.99,Consumer
1009,2024-01-22,North,Furniture,Bookshelf,3,150.00,450.00,SMB
1010,2024-01-25,South,Electronics,Monitor,4,249.00,996.00,Enterprise
1011,2024-02-01,East,Furniture,Office Chair,6,129.50,777.00,SMB
1012,2024-02-03,West,Clothing,Jeans,12,49.99,599.88,Consumer
1013,2024-02-05,North,Electronics,Mouse,15,25.00,375.00,Consumer
1014,2024-02-08,South,Furniture,Desk,1,320.00,320.00,Enterprise
1015,2024-02-10,East,Electronics,Laptop,3,899.99,2699.97,Enterprise
1016,2024-02-12,West,Furniture,Bookshelf,2,150.00,300.00,SMB
1017,2024-02-15,North,Clothing,Jacket,7,59.99,419.93,Consumer
1018,2024-02-18,South,Electronics,Keyboard,10,45.00,450.00,SMB
1019,2024-02-20,East,Clothing,T-Shirt,25,15.99,399.75,Consumer
1020,2024-02-22,West,Electronics,Monitor,5,249.00,1245.00,Enterprise
1021,2024-03-01,North,Furniture,Office Chair,4,129.50,518.00,SMB
1022,2024-03-04,South,Clothing,Jeans,9,49.99,449.91,Consumer
1023,2024-03-06,East,Electronics,Mouse,20,25.00,500.00,Consumer
1024,2024-03-09,West,Furniture,Desk,3,320.00,960.00,Enterprise
1025,2024-03-11,North,Electronics,Laptop,2,899.99,1799.98,Enterprise
1026,2024-03-14,South,Clothing,Jacket,6,59.99,359.94,Consumer
1027,2024-03-17,East,Furniture,Bookshelf,4,150.00,600.00,SMB
1028,2024-03-19,West,Electronics,Keyboard,12,45.00,540.00,SMB
1029,2024-03-22,North,Clothing,T-Shirt,18,15.99,287.82,Consumer
1030,2024-03-25,South,Electronics,Monitor,6,249.00,1494.00,Enterprise
